DISTRICT,Latitude,Longitude,date,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,WindSpeed_10m,WindSpeed_50m,Rice(coarse)_price,Wheat_flour_price
baglung,28.3,83.6,2019-04-15,2.7036666666666664,79.384,7.303666666666667,52.93966666666667,15.493333333333334,21.601666666666667,9.966,11.636333333333331,2.2883333333333336,2.259,50.0,50.0
baglung,28.3,83.6,2019-05-15,4.847741935483871,79.21451612903226,8.006774193548388,49.53741935483871,17.934838709677418,24.230967741935483,11.85516129032258,12.37548387096774,2.4780645161290327,2.596129032258065,50.0,60.0
baglung,28.3,83.6,2019-06-15,9.175999999999998,79.05533333333332,12.675,70.59766666666665,19.493,24.15666666666667,14.964333333333334,9.193333333333332,2.1566666666666667,2.1406666666666667,50.0,60.0
baglung,28.3,83.6,2019-07-15,14.783548387096776,78.8816129032258,15.83483870967742,90.97612903225809,18.916451612903224,21.820967741935487,16.370645161290323,5.449677419354838,2.392903225806452,2.5716129032258066,50.0,60.0
baglung,28.3,83.6,2019-08-15,7.855806451612903,79.06354838709677,15.63774193548387,89.94645161290323,18.934193548387096,22.10709677419355,16.193870967741937,5.912258064516129,2.1006451612903225,2.144838709677419,55.0,60.0
baglung,28.3,83.6,2019-09-15,12.419666666666666,79.386,14.149666666666668,92.821,16.865,19.686333333333334,14.611666666666668,5.074666666666667,1.904,2.0603333333333333,51.0,60.0
baglung,28.3,83.6,2019-10-15,2.3848387096774197,79.61322580645162,10.811612903225807,86.73709677419355,13.779032258064516,17.524516129032257,11.074516129032258,6.451612903225806,1.6174193548387097,1.5780645161290323,51.0,55.0
baglung,28.3,83.6,2019-11-15,0.2633333333333333,79.63733333333333,7.195333333333334,68.47433333333333,11.203333333333337,16.159666666666666,7.861666666666666,8.297,1.625,1.6296666666666666,51.0,52.0
baglung,28.3,83.6,2019-12-15,1.2058064516129032,79.57774193548387,4.371612903225807,62.80645161290322,5.137741935483871,10.75516129032258,1.7035483870967745,9.051612903225807,1.6780645161290324,1.7041935483870967,51.0,53.0
bajhang,29.6,81.2,2019-04-15,1.771,68.07266666666666,5.583666666666667,64.83933333333333,6.154333333333333,12.431333333333331,0.4679999999999999,11.965,2.482333333333333,2.451333333333333,45.0,48.0
bajhang,29.6,81.2,2019-05-15,0.6761290322580645,68.02870967741936,5.449354838709677,51.97935483870968,8.945483870967742,15.468387096774192,2.6658064516129034,12.80258064516129,2.849354838709677,2.849677419354838,45.0,48.0
bajhang,29.6,81.2,2019-06-15,2.4006666666666665,67.94833333333334,8.097,62.08866666666667,12.118333333333334,18.490333333333336,5.966333333333334,12.522,2.9656666666666665,2.9046666666666665,45.0,48.0
bajhang,29.6,81.2,2019-07-15,4.538709677419354,67.77516129032257,11.840967741935485,83.12032258064517,13.428387096774197,18.058709677419355,9.518387096774193,8.541290322580645,2.8741935483870966,2.780322580645161,45.0,48.0
